,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.5876435164554108,-0.16969367904777788,0.06575409178107565,-0.15447625079570707,-0.3491295920709783,0.06364393179939719,0.01629087318781001,-0.37514644677223297,0.6987284681406233
v2,-0.5876435164554108,,-0.39404394049102426,0.013429766334078387,-0.12325401178017051,0.18494422943968555,-0.3084272477217699,-0.2497783310172468,0.348717650622229,-0.6467805216177286
zr,-0.16969367904777788,-0.39404394049102426,,0.03783953781197173,0.14899238857334593,0.04985236927277712,-0.1991126237390438,-0.16901907732598107,0.041513957563038266,0.17185380314174134
a,0.06575409178107565,0.013429766334078387,0.03783953781197173,,0.04668766350227721,-0.30933262045914606,0.321249302783127,0.3139653686754558,0.7321263748664891,0.5775798336817943
ndt,-0.15447625079570707,-0.12325401178017051,0.14899238857334593,0.04668766350227721,,0.4201700389691085,0.4232424721435479,0.4244635417047977,0.6252106933993291,0.06533510486925811
sndt,-0.3491295920709783,0.18494422943968555,0.04985236927277712,-0.30933262045914606,0.4201700389691085,,-0.3446934849723902,-0.4458646654508677,0.1089884283890919,-0.5974523554357284
alpha,0.06364393179939719,-0.3084272477217699,-0.1991126237390438,0.321249302783127,0.4232424721435479,-0.3446934849723902,,0.9738181835350403,0.28619248820705934,0.39069983432683847
alpha_arc_box,0.01629087318781001,-0.2497783310172468,-0.16901907732598107,0.3139653686754558,0.4244635417047977,-0.4458646654508677,0.9738181835350403,,0.3141794264340106,0.447584107122752
mean_log_rt,-0.37514644677223297,0.348717650622229,0.041513957563038266,0.7321263748664891,0.6252106933993291,0.1089884283890919,0.28619248820705934,0.3141794264340106,,0.13886464932674397
acc_arc_box,0.6987284681406233,-0.6467805216177286,0.17185380314174134,0.5775798336817943,0.06533510486925811,-0.5974523554357284,0.39069983432683847,0.447584107122752,0.13886464932674397,
