,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,,-0.5606353422335129,-0.09174205313258377,0.4563730301392176,-0.2891496704721808,-0.45430319278955195,-0.24102185548205304,-0.25559282421201984,-0.22750717574260593,0.8609434474214761
v2,-0.5606353422335129,,-0.22265464771557356,-0.16606648018266362,0.39282210824831026,0.30827871436543103,0.10488199563133745,0.10011576527471323,0.5393652664826032,-0.6542949242423982
zr,-0.09174205313258377,-0.22265464771557356,,0.08081279869624529,-0.06265994853930784,-0.2030310256059259,-0.1679327396182054,-0.16041727126579677,0.03115055188753705,0.11910944928229147
a,0.4563730301392176,-0.16606648018266362,0.08081279869624529,,-0.23661488846017256,-0.42916636115852363,0.23742531979384102,0.28764625671762795,0.6207513799687984,0.7186287358556345
ndt,-0.2891496704721808,0.39282210824831026,-0.06265994853930784,-0.23661488846017256,,0.5490275549236598,-0.027873291087401664,0.015721379875413857,0.5011147448868569,-0.45105828821727806
sndt,-0.45430319278955195,0.30827871436543103,-0.2030310256059259,-0.42916636115852363,0.5490275549236598,,-0.17300950881940425,-0.14452811778748992,0.08665686298093221,-0.6216386668284459
alpha,-0.24102185548205304,0.10488199563133745,-0.1679327396182054,0.23742531979384102,-0.027873291087401664,-0.17300950881940425,,0.9594068816759699,0.28409647895541706,-0.01635804564718254
alpha_arc_box,-0.25559282421201984,0.10011576527471323,-0.16041727126579677,0.28764625671762795,0.015721379875413857,-0.14452811778748992,0.9594068816759699,,0.3564191204992138,-0.04695256395423887
mean_log_rt,-0.22750717574260593,0.5393652664826032,0.03115055188753705,0.6207513799687984,0.5011147448868569,0.08665686298093221,0.28409647895541706,0.3564191204992138,,-0.05779846792642961
acc_arc_box,0.8609434474214761,-0.6542949242423982,0.11910944928229147,0.7186287358556345,-0.45105828821727806,-0.6216386668284459,-0.01635804564718254,-0.04695256395423887,-0.05779846792642961,
