,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
v1,1.0,-0.71,-0.234,0.281,-0.307,-0.397,0.055,-0.048,-0.414,0.761
v2,-0.71,1.0,-0.074,-0.285,0.374,0.478,-0.002,0.142,0.451,-0.787
zr,-0.234,-0.074,1.0,-0.081,-0.084,0.216,0.065,0.133,-0.073,-0.184
a,0.281,-0.285,-0.081,1.0,-0.009,-0.387,0.227,0.284,0.554,0.659
ndt,-0.307,0.374,-0.084,-0.009,1.0,0.259,0.385,0.338,0.682,-0.203
sndt,-0.397,0.478,0.216,-0.387,0.259,1.0,-0.29,-0.251,0.042,-0.644
alpha,0.055,-0.002,0.065,0.227,0.385,-0.29,1.0,0.877,0.336,0.241
alpha_arc_box,-0.048,0.142,0.133,0.284,0.338,-0.251,0.877,1.0,0.424,0.131
mean_log_rt,-0.414,0.451,-0.073,0.554,0.682,0.042,0.336,0.424,1.0,-0.042
acc_arc_box,0.761,-0.787,-0.184,0.659,-0.203,-0.644,0.241,0.131,-0.042,1.0
