,par,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
0,v1,1.0,-0.548,-0.383,0.004,0.041,-0.291,0.205,0.184,-0.338,0.595
1,v2,-0.548,1.0,-0.107,-0.017,0.204,0.327,0.05,0.126,0.404,-0.657
2,zr,-0.383,-0.107,1.0,-0.079,0.0,0.182,0.083,0.062,0.001,-0.201
3,a,0.004,-0.017,-0.079,1.0,0.067,-0.404,0.428,0.428,0.755,0.653
4,ndt,0.041,0.204,0.0,0.067,1.0,0.28,0.346,0.408,0.638,-0.049
5,sndt,-0.291,0.327,0.182,-0.404,0.28,1.0,-0.362,-0.43,0.002,-0.652
6,alpha,0.205,0.05,0.083,0.428,0.346,-0.362,1.0,0.946,0.403,0.355
7,alpha_arc_box,0.184,0.126,0.062,0.428,0.408,-0.43,0.946,1.0,0.455,0.396
8,mean_log_rt,-0.338,0.404,0.001,0.755,0.638,0.002,0.403,0.455,1.0,0.186
9,acc_arc_box,0.595,-0.657,-0.201,0.653,-0.049,-0.652,0.355,0.396,0.186,1.0
