,par,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
0,v1,1.0,-0.539,-0.222,0.181,-0.406,-0.302,0.068,0.069,-0.551,0.629
1,v2,-0.539,1.0,-0.1,-0.487,0.329,0.483,0.079,0.102,0.231,-0.866
2,zr,-0.222,-0.1,1.0,-0.061,0.032,0.178,0.152,0.115,-0.023,-0.114
3,a,0.181,-0.487,-0.061,1.0,-0.27,-0.438,0.335,0.346,0.589,0.75
4,ndt,-0.406,0.329,0.032,-0.27,1.0,0.557,-0.136,-0.083,0.515,-0.471
5,sndt,-0.302,0.483,0.178,-0.438,0.557,1.0,-0.246,-0.253,0.118,-0.622
6,alpha,0.068,0.079,0.152,0.335,-0.136,-0.246,1.0,0.967,0.249,0.163
7,alpha_arc_box,0.069,0.102,0.115,0.346,-0.083,-0.253,0.967,1.0,0.248,0.159
8,mean_log_rt,-0.551,0.231,-0.023,0.589,0.515,0.118,0.249,0.248,1.0,-0.058
9,acc_arc_box,0.629,-0.866,-0.114,0.75,-0.471,-0.622,0.163,0.159,-0.058,1.0
