,par,v1,v2,zr,a,ndt,sndt,alpha,alpha_arc_box,mean_log_rt,acc_arc_box
0,v1,1.0,-0.525,-0.294,0.076,-0.197,-0.304,0.094,0.106,-0.471,0.584
1,v2,-0.525,1.0,-0.075,-0.219,0.289,0.377,0.101,0.151,0.333,-0.735
2,zr,-0.294,-0.075,1.0,-0.074,0.036,0.217,0.089,0.067,0.008,-0.163
3,a,0.076,-0.219,-0.074,1.0,-0.078,-0.46,0.436,0.447,0.693,0.731
4,ndt,-0.197,0.289,0.036,-0.078,1.0,0.362,0.092,0.175,0.571,-0.302
5,sndt,-0.304,0.377,0.217,-0.46,0.362,1.0,-0.301,-0.32,-0.002,-0.648
6,alpha,0.094,0.101,0.089,0.436,0.092,-0.301,1.0,0.953,0.386,0.258
7,alpha_arc_box,0.106,0.151,0.067,0.447,0.175,-0.32,0.953,1.0,0.417,0.274
8,mean_log_rt,-0.471,0.333,0.008,0.693,0.571,-0.002,0.386,0.417,1.0,0.093
9,acc_arc_box,0.584,-0.735,-0.163,0.731,-0.302,-0.648,0.258,0.274,0.093,1.0
