Unnamed: 0,Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_error,error_array,RT_Cor_arr,ID,Task,Session,alpha_shifted,alpha_clipped,alpha_arcsin,alpha_mean_boxcox_after_arcsin,accuracy_arcsin,accuracy_percentage_boxcox_after_arcsin
171,001_class_pictures_part_1.dat,1.416756976824768,-2.303725456242673,0.4913263660548932,1.175885371046309,0.52245524123523,0.0378541134183855,1.7518473988388523,0.8984771573604061,6.671458243948287,0.8140862944162437,0.8146045197740113,0.8095000000000001,"103    1.095
113    0.809
114    0.601
120    0.644
121    0.690
124    0.621
130    0.625
131    1.472
132    0.842
139    1.101
141    0.686
145    1.564
150    0.703
153    0.539
166    0.775
167    0.644
174    0.946
181    0.492
197    0.682
201    0.659
Name: RT, dtype: float64","1      0.672
2      0.632
3      1.171
4      0.656
5      0.721
       ...  
195    0.623
196    0.558
198    0.746
199    0.598
200    1.124
Name: RT, Length: 177, dtype: float64",1,RMT,Session 1,0.7518473988388523,0.7518473988388523,1.0493333838674812,0.05490115562798784,1.2465162220237815,0.2808732787884439
400,002_class_pictures_part_1.dat,1.0867448939253883,-2.8078725024502384,0.6308020211463289,0.8322077858941683,0.6470117329856998,0.0628438119808913,1.921943632917765,0.845,6.675791810290059,0.811585,0.8054437869822485,0.8450645161290321,"25     0.804
28     1.147
31     0.773
35     1.053
50     0.995
71     0.781
78     0.903
81     0.907
96     0.956
97     0.652
102    0.910
104    0.804
105    0.685
106    0.888
114    0.733
117    0.772
126    0.784
129    0.775
135    0.941
138    0.788
143    0.930
149    0.788
150    1.083
153    0.807
159    0.883
174    0.814
177    0.772
179    0.790
197    0.817
198    0.785
201    0.677
Name: RT, dtype: float64","1      0.864
2      0.631
3      0.626
4      0.623
5      0.800
       ...  
194    0.779
195    0.995
196    0.794
199    0.749
200    0.813
Name: RT, Length: 169, dtype: float64",2,RMT,Session 1,0.921943632917765,0.921943632917765,1.2876420580146124,0.5343902967993274,1.1661426897712648,0.18170279880463544
355,003_class_pictures_part_1.dat,1.0571040151954758,-2.0140522991848577,0.6228793990958713,1.3082241326051738,0.6143330155868494,0.0407016831504631,1.904170128198126,0.8826530612244898,6.814381513512874,0.9656836734693878,0.9400809248554914,1.1582608695652177,"16     0.843
37     1.759
56     1.070
59     1.224
65     1.157
78     1.390
84     0.791
86     0.753
98     1.436
124    0.896
126    1.119
128    0.737
141    0.969
143    1.426
148    0.738
149    1.180
153    1.256
158    1.224
161    1.219
174    0.881
191    2.396
198    0.923
200    1.253
Name: RT, dtype: float64","1      1.008
2      1.383
3      0.907
4      0.912
5      0.735
       ...  
195    1.153
196    0.921
197    0.747
199    0.767
201    0.852
Name: RT, Length: 173, dtype: float64",3,RMT,Session 1,0.904170128198126,0.904170128198126,1.2560618490029491,0.44487144176210164,1.2211565572844199,0.24878313032751842
86,004_class_pictures_part_1.dat,2.481290847026838,-2.27486531940874,0.5032011838744707,1.3758966594169015,0.565844343095624,0.0386558039446205,1.830303298572036,0.9597989949748744,6.7264365487709945,0.8573216080402012,0.8576596858638743,0.84925,"22     0.899
80     0.727
81     0.963
84     0.942
130    0.692
187    1.107
190    0.771
197    0.693
Name: RT, dtype: float64","1      1.039
2      1.408
3      0.747
4      0.744
5      0.920
       ...  
196    0.641
198    0.883
199    0.782
200    1.166
201    0.924
Name: RT, Length: 191, dtype: float64",4,RMT,Session 1,0.830303298572036,0.830303298572036,1.146211404003243,0.20068940415207337,1.3689261471645615,0.4462060124050063
401,005_class_pictures_part_1.dat,1.6984140342493457,-1.8466835331404368,0.6340360701102804,1.6562697733977148,0.5436483604537289,0.0190518581408236,1.8265092025629903,0.9393939393939394,6.841170148973245,0.9898434343434344,0.9823655913978494,1.10575,"42     0.772
81     1.292
123    1.418
140    1.472
146    0.790
164    1.278
165    1.211
166    0.927
167    1.394
175    1.099
191    0.812
201    0.804
Name: RT, dtype: float64","1      1.046
2      0.701
3      0.682
4      1.438
5      1.165
       ...  
196    1.378
197    0.805
198    0.804
199    0.871
200    0.837
Name: RT, Length: 186, dtype: float64",5,RMT,Session 1,0.8265092025629903,0.8265092025629903,1.141179736798607,0.19168877687120942,1.3220562768356152,0.38085238535500987
184,007_class_pictures_part_1.dat,1.9951855379625685,-2.225354373470431,0.4262322277271188,1.057873818783896,0.5923959642609604,0.0265178961963511,1.9189140349107088,0.9095477386934674,6.680258323768476,0.8142613065326634,0.8111988950276243,0.8450555555555554,"16     0.976
34     0.990
39     0.799
40     0.831
42     0.695
45     0.896
51     0.651
57     0.838
78     1.076
81     0.790
103    0.687
140    1.001
149    0.694
153    0.763
160    1.048
166    0.813
172    0.700
197    0.963
Name: RT, dtype: float64","1      0.703
2      0.686
3      0.642
4      0.775
5      0.654
       ...  
196    0.754
198    0.628
199    0.760
200    0.846
201    0.757
Name: RT, Length: 181, dtype: float64",7,RMT,Session 1,0.9189140349107088,0.9189140349107088,1.2820444725695783,0.5178150298485439,1.2653144004758605,0.3051378262432077
26,008_class_pictures_part_1.dat,2.897589971522809,-2.0050169225766896,0.4929052721246745,1.6812690488332205,0.5194667587539233,0.0031370019641765,1.9234337604394545,0.9844559585492229,6.747567676330391,0.8968704663212436,0.8905894736842106,1.2946666666666666,"91     1.584
96     1.421
100    0.879
Name: RT, dtype: float64","1      0.643
2      0.708
3      0.692
4      0.680
5      0.839
       ...  
197    0.741
198    0.700
199    0.718
200    0.654
201    0.860
Name: RT, Length: 190, dtype: float64",8,RMT,Session 1,0.9234337604394545,0.9234337604394545,1.2904317042896818,0.5427681880819801,1.445795306984653,0.5589267707974216
123,009_class_pictures_part_1.dat,2.237319019420265,-2.3043381775982392,0.4813715591714055,1.3991823832216783,0.505633845810273,0.0173297664907559,1.910306768704073,0.96,6.662961709821892,0.8117150000000001,0.8088645833333334,0.880125,"16     1.497
38     0.886
40     0.831
65     0.642
78     1.045
98     0.605
111    0.867
201    0.668
Name: RT, dtype: float64","1      0.840
2      1.266
3      0.707
4      0.744
5      0.687
       ...  
196    0.890
197    0.589
198    0.788
199    0.663
200    0.653
Name: RT, Length: 192, dtype: float64",9,RMT,Session 1,0.9103067687040729,0.9103067687040729,1.266640053364808,0.47378980931293785,1.3694384060045657,0.44693438576633693
148,010_class_pictures_part_1.dat,1.8030869905816915,-2.5425463006281497,0.562666395473781,0.9711472525652832,0.5212860003519869,0.0231432245011817,1.887019692321576,0.905,6.552182286952666,0.720085,0.7138950276243095,0.7790526315789472,"3      0.747
25     0.781
33     0.764
45     1.222
61     1.003
65     0.694
71     0.654
81     0.757
84     0.839
98     0.654
124    0.845
125    0.749
126    1.203
139    0.606
140    0.681
166    0.605
187    0.788
197    0.597
201    0.613
Name: RT, dtype: float64","1      0.728
2      0.551
4      0.687
5      0.552
6      0.596
       ...  
195    0.578
196    0.559
198    0.693
199    0.567
200    0.678
Name: RT, Length: 181, dtype: float64",10,RMT,Session 1,0.8870196923215761,0.8870196923215761,1.2279963905494298,0.37309008836817653,1.2574742209745264,0.29496832288865343
81,011_class_pictures_part_1.dat,2.805952978895184,-3.451905738256877,0.5576802242419368,1.348210519062674,0.5306784748291303,0.0218409437181824,1.7224622011165978,0.975,6.601709661417448,0.7507699999999999,0.7474666666666666,0.8795999999999999,"45     0.887
50     1.509
65     0.735
124    0.613
146    0.654
Name: RT, dtype: float64","1      0.712
2      1.491
3      0.660
4      0.688
5      0.599
       ...  
197    0.764
198    0.771
199    0.646
200    0.693
201    0.868
Name: RT, Length: 195, dtype: float64",11,RMT,Session 1,0.7224622011165978,0.7224622011165978,1.0159430863324665,0.01650338248248836,1.4120161121491357,0.5085434919668755
