Unnamed: 0,Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_error,error_array,RT_Cor_arr,ID,Task,Session,alpha_shifted,alpha_clipped,alpha_arcsin,alpha_mean_boxcox_after_arcsin,accuracy_arcsin,accuracy_percentage_boxcox_after_arcsin
52,001_class_pictures_part_2.dat,1.11951343143178,-3.116964297913686,0.4464242478037622,0.8457514193349784,0.5252665103460497,0.0518836957826705,1.8884925606030705,0.83,6.5220340618542405,0.69262,0.6913373493975904,0.6988823529411765,"12     0.618
15     0.696
17     0.728
23     0.799
26     0.853
43     0.553
49     0.633
80     0.559
81     0.647
87     1.399
89     0.544
102    0.559
103    0.562
105    0.628
107    0.747
110    0.576
111    0.509
120    0.714
126    0.698
130    0.743
139    0.783
140    0.545
144    0.628
145    0.535
160    0.974
168    0.661
173    0.459
174    0.773
177    0.503
186    0.882
194    0.984
197    0.871
199    0.770
201    0.629
Name: RT, dtype: float64","1      0.822
2      0.673
3      0.654
4      0.689
5      0.798
       ...  
193    0.847
195    0.699
196    0.624
198    0.643
200    0.632
Name: RT, Length: 166, dtype: float64",1,RMT,Session 2,0.8884925606030705,0.8884925606030705,1.230329353969889,0.24241487654864843,1.1458075438324933,0.15996510797347657
28,002_class_pictures_part_2.dat,1.72057151983352,-2.3251129823604777,0.5913934277545236,0.9040276615351543,0.610376864138775,0.0260992443425803,1.9372975781942865,0.88,6.650757639131825,0.794135,0.7850056818181819,0.8610833333333335,"1      0.961
20     0.869
33     0.940
44     0.811
57     0.802
81     0.954
83     1.003
85     0.935
89     0.716
92     0.843
97     0.839
106    0.636
111    0.780
113    0.968
122    0.805
139    0.816
141    0.741
155    0.933
164    1.035
167    0.899
168    0.802
179    0.868
180    0.818
199    0.892
Name: RT, dtype: float64","2      0.755
3      0.624
4      0.772
5      0.691
6      0.733
       ...  
196    0.651
197    0.956
198    0.733
200    0.909
201    0.666
Name: RT, Length: 176, dtype: float64",2,RMT,Session 2,0.9372975781942865,0.9372975781942865,1.3176982664207888,0.3403883804102311,1.2170547209052252,0.2486447810787341
227,003_class_pictures_part_2.dat,1.6417898432904092,-2.6337002565567467,0.6444143941586132,1.3652092439559251,0.535374542499026,0.0136592202705212,1.9079445235803727,0.949238578680203,6.675169378841243,0.8387918781725888,0.8178128342245988,1.2311,"49     1.173
80     2.422
85     0.856
112    0.789
146    1.300
157    1.170
173    1.582
183    0.950
185    1.083
191    0.986
Name: RT, dtype: float64","1      0.976
2      0.738
3      1.265
4      0.668
5      0.659
       ...  
197    0.772
198    0.869
199    0.684
200    0.901
201    0.594
Name: RT, Length: 187, dtype: float64",3,RMT,Session 2,0.9079445235803727,0.9079445235803727,1.2625307235923402,0.27815413247407206,1.3435423523637626,0.4236120098994081
361,004_class_pictures_part_2.dat,1.4909622569792622,-2.0944458748400088,0.5421784277288998,1.1047416000982944,0.5851275426824024,0.056183596076058,1.86233082436753,0.8934010152284264,6.713044528639833,0.8544771573604061,0.8454602272727272,0.930047619047619,"33     0.719
43     0.697
69     1.001
80     0.951
85     0.776
91     0.979
103    0.695
110    1.043
113    1.200
122    1.051
127    0.947
129    0.891
144    0.796
148    1.247
159    0.689
167    0.734
175    1.479
178    0.900
187    1.109
191    0.594
199    1.033
Name: RT, dtype: float64","1      0.894
2      0.881
3      0.551
4      0.610
5      1.118
       ...  
196    0.816
197    0.711
198    0.859
200    1.049
201    0.926
Name: RT, Length: 176, dtype: float64",4,RMT,Session 2,0.8623308243675301,0.8623308243675301,1.1906697965498048,0.19900330959352197,1.2382033526684006,0.2763254764097979
36,005_class_pictures_part_2.dat,3.445411990518647,-2.192077134211502,0.5524831629983369,1.7358226251963291,0.4770972539132103,0.0129412463132928,1.8322554955754584,0.984924623115578,6.655084244520098,0.8194673366834172,0.8080102040816327,1.5679999999999998,"18     1.646
49     1.887
167    1.171
Name: RT, dtype: float64","1      0.831
2      0.617
3      0.526
4      0.995
5      0.626
       ...  
197    0.667
198    1.028
199    0.795
200    0.668
201    0.642
Name: RT, Length: 196, dtype: float64",5,RMT,Session 2,0.8322554955754584,0.8322554955754584,1.1488177839428284,0.15392848483904764,1.4477038915894178,0.584952631648664
173,007_class_pictures_part_2.dat,2.5110023201665217,-2.6619694290505533,0.4937174746278996,1.088354473037811,0.5561360539036568,0.0128746396943724,1.881829899084851,0.955,6.609524159300938,0.7652500000000001,0.7547225130890053,0.9886666666666666,"33     1.323
43     0.857
49     0.899
71     0.647
118    1.132
127    1.371
159    0.941
162    1.063
184    0.665
Name: RT, dtype: float64","1      0.905
2      0.682
3      0.614
4      0.634
5      0.633
       ...  
197    0.764
198    0.741
199    0.779
200    0.612
201    0.826
Name: RT, Length: 191, dtype: float64",7,RMT,Session 2,0.881829899084851,0.881829899084851,1.2198796301902566,0.23091132863063185,1.357040194322462,0.4436308648622295
331,008_class_pictures_part_2.dat,4.564346235431012,-2.193435366598203,0.4125588662213951,1.7306529972529183,0.520325439674072,0.0146871424603723,1.8027522467266768,0.9897959183673468,6.654985099021759,0.8023010204081633,0.7979072164948454,1.2285,"53     0.556
125    1.901
Name: RT, dtype: float64","1      1.169
2      0.795
3      0.648
4      0.676
5      0.931
       ...  
197    0.780
198    0.693
199    0.754
200    1.596
201    0.737
Name: RT, Length: 194, dtype: float64",8,RMT,Session 2,0.8027522467266768,0.8027522467266768,1.110597976564643,0.11343835238037503,1.469608484011348,0.6209035622022047
131,009_class_pictures_part_2.dat,1.2350936760701317,-2.0204439655931603,0.4600118030261363,1.1171128235711574,0.5362569060471571,0.0225066734695198,1.909610021067696,0.8585858585858586,6.658236617972221,0.8111919191919192,0.8033294117647057,0.8589285714285715,"12     0.713
17     0.670
35     0.599
43     0.600
50     0.754
55     1.567
58     0.831
66     0.688
69     1.314
80     0.583
81     1.039
91     0.928
105    0.813
110    0.554
111    0.710
118    0.849
120    0.737
122    1.033
126    0.586
133    0.994
150    0.585
160    1.013
168    0.741
177    0.884
178    0.978
186    0.796
188    0.934
193    1.557
Name: RT, dtype: float64","1      0.829
2      0.775
3      0.605
4      0.609
5      0.699
       ...  
197    0.933
198    0.778
199    0.872
200    0.655
201    0.693
Name: RT, Length: 170, dtype: float64",9,RMT,Session 2,0.9096100210676961,0.9096100210676961,1.2654229880284733,0.2813854921979954,1.1852658633813196,0.20821055554301934
278,010_class_pictures_part_2.dat,2.6964516344331044,-2.890304132069429,0.5697333777306752,1.3518070115762812,0.4619643241981514,0.0143330800579648,1.3821733082901717,0.95,6.552775874189128,0.70953,0.7136631578947367,0.631,"18     0.458
27     0.744
33     0.727
49     0.673
85     0.596
97     0.699
126    0.560
137    0.738
159    0.503
162    0.612
Name: RT, dtype: float64","1      0.798
2      0.583
3      0.462
4      0.576
5      0.597
       ...  
197    0.607
198    0.922
199    0.692
200    0.688
201    0.710
Name: RT, Length: 190, dtype: float64",10,RMT,Session 2,0.3821733082901717,0.3821733082901717,0.6664527478256018,-0.3054427789659604,1.3452829208967652,0.4261787295908648
402,011_class_pictures_part_2.dat,3.782548388596047,-3.339238562877359,0.4946963895301,1.134197040986492,0.5076646726684969,0.0192829945234025,1.83536417064112,0.98,6.492246227738532,0.673535,0.6671326530612244,0.98725,"125    0.702
149    1.785
168    0.643
193    0.819
Name: RT, dtype: float64","1      0.829
2      0.717
3      0.559
4      0.602
5      0.766
       ...  
197    0.580
198    0.853
199    0.699
200    0.556
201    0.641
Name: RT, Length: 196, dtype: float64",11,RMT,Session 2,0.8353641706411199,0.8353641706411199,1.152993331865193,0.15839120876975468,1.428899272190733,0.5546535478188402
