Experiment,v1_mean,v2_mean,a_mean,ndt_mean,alpha_mean,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,error_array,RT_Cor_arr,q1_C,q2_C,q3_C,q4_C,q1_E,q2_E,q3_E,q4_E
1011_class_pictures_part_1.dat,1.676268448124084,-0.7304739364465794,0.7834976533991149,0.6018812616970634,1.4039712325721767,0.825,6.75070397033677,0.87131,0.8696242424242424,0.879257142857143,"4      1.210
6      1.014
22     0.736
34     0.745
35     1.002
36     1.035
42     0.761
59     0.982
61     0.735
62     1.204
65     0.705
69     1.024
72     0.827
73     0.989
75     1.359
77     0.744
82     0.721
83     0.830
86     0.947
91     0.677
92     0.610
102    0.715
104    0.968
109    0.788
111    0.810
126    0.879
130    0.855
133    0.650
138    0.739
150    0.812
157    0.922
161    0.912
188    1.010
196    0.888
198    0.969
Name: RT, dtype: float64","1      0.867
2      0.941
3      0.725
5      0.806
7      0.832
       ...  
195    0.715
197    1.034
199    1.177
200    0.969
201    0.806
Name: RT, Length: 165, dtype: float64","[0.725 0.719 0.639 0.703 0.729 0.744 0.697 0.687 0.606 0.634 0.67  0.624
 0.671 0.743 0.66  0.66  0.703 0.753 0.662 0.757 0.707 0.754 0.754 0.669
 0.663 0.662 0.618 0.721 0.707 0.757 0.659 0.678 0.622 0.737 0.726 0.653
 0.689 0.612 0.72  0.667 0.718 0.72  0.715]","[0.806 0.832 0.83  0.768 0.765 0.81  0.759 0.798 0.814 0.788 0.802 0.799
 0.812 0.837 0.762 0.837 0.835 0.844 0.782 0.777 0.762 0.777 0.771 0.78
 0.827 0.789 0.792 0.817 0.776 0.793 0.771 0.839 0.778 0.821 0.805 0.77
 0.764 0.759 0.809 0.806]","[0.867 0.941 0.947 0.922 0.941 0.872 0.903 0.936 0.846 0.919 0.856 0.912
 0.887 0.858 0.881 0.854 0.915 0.865 0.898 0.917 0.895 0.85  0.874 0.947
 0.904 0.914 0.913 0.943 0.919 0.859 0.938 0.916 0.871 0.912 0.874 0.847
 0.91  0.941 0.849 0.884 0.927]","[0.953 0.961 1.081 1.034 1.184 1.641 1.034 1.116 1.392 1.186 1.238 1.097
 1.079 1.327 1.014 1.018 1.094 0.979 1.008 1.064 0.994 1.042 1.225 1.007
 1.135 1.015 1.104 1.015 1.361 1.097 1.017 1.181 0.958 1.189 0.991 1.006
 1.014 1.056 1.034 1.177 0.969]",[0.736 0.735 0.705 0.721 0.677 0.61  0.715 0.65  0.739],[0.745 0.761 0.827 0.744 0.83  0.788 0.81  0.855 0.812],[0.982 0.947 0.968 0.879 0.922 0.912 0.888 0.969],[1.21  1.014 1.002 1.035 1.204 1.024 0.989 1.359 1.01 ]
017_class_pictures_part_1.dat,3.801779259382773,-2.4278678449284845,1.6146611560646804,0.5369535180402678,1.8087965560114967,0.98,6.681647597168223,0.81922,0.814469387755102,1.052,"104    1.172
111    0.923
118    1.108
129    1.005
Name: RT, dtype: float64","1      0.721
2      0.693
3      0.724
4      0.753
5      0.686
       ...  
197    0.821
198    0.748
199    0.967
200    0.701
201    0.741
Name: RT, Length: 196, dtype: float64","[0.693 0.686 0.67  0.608 0.693 0.666 0.697 0.682 0.619 0.695 0.556 0.644
 0.655 0.662 0.7   0.638 0.662 0.661 0.687 0.697 0.605 0.637 0.671 0.685
 0.7   0.693 0.677 0.683 0.661 0.689 0.698 0.678 0.605 0.641 0.681 0.619
 0.626 0.686 0.696 0.699 0.659 0.676 0.654 0.673 0.687 0.692 0.675 0.686
 0.7   0.667 0.658]","[0.721 0.724 0.753 0.757 0.709 0.731 0.71  0.763 0.729 0.748 0.729 0.723
 0.733 0.762 0.723 0.73  0.707 0.762 0.748 0.721 0.762 0.737 0.746 0.738
 0.716 0.762 0.707 0.747 0.761 0.701 0.736 0.726 0.763 0.738 0.722 0.763
 0.763 0.702 0.747 0.724 0.723 0.763 0.746 0.707 0.748 0.748 0.701 0.741]","[0.86  0.793 0.783 0.777 0.8   0.861 0.815 0.812 0.864 0.824 0.765 0.829
 0.795 0.782 0.815 0.803 0.827 0.779 0.801 0.789 0.781 0.79  0.851 0.857
 0.787 0.785 0.835 0.766 0.842 0.787 0.838 0.767 0.764 0.821 0.791 0.852
 0.842 0.78  0.779 0.811 0.772 0.781 0.772 0.829 0.807 0.794 0.828 0.821]","[0.899 0.973 1.165 1.03  1.141 0.92  0.878 0.997 0.882 1.022 0.871 0.87
 1.017 1.691 0.908 0.868 1.197 0.908 0.907 1.115 1.467 0.931 1.219 0.885
 0.875 0.986 0.94  1.116 1.084 0.924 0.948 2.446 0.901 1.335 1.011 0.926
 1.143 0.956 1.103 0.997 1.244 1.116 1.053 0.994 0.877 1.125 0.865 0.89
 0.967]",[0.923],[1.005],[1.108],[1.172]
1004_class_pictures_part_1.dat,1.9371839288204653,-1.4942048821252756,1.3434239552333074,0.575267506605775,1.9304227997441803,0.9246231155778896,6.787777308846487,0.9489145728643216,0.911570652173913,1.4070000000000005,"42     0.818
45     0.918
55     1.239
62     2.391
65     1.090
81     1.770
102    1.118
104    1.279
111    1.295
121    0.791
125    1.584
126    1.224
129    2.223
131    2.445
161    0.920
Name: RT, dtype: float64","1      0.852
2      0.763
3      0.631
4      0.777
5      0.750
       ...  
197    0.993
198    0.855
199    0.690
200    1.186
201    0.839
Name: RT, Length: 184, dtype: float64","[0.631 0.75  0.747 0.721 0.749 0.679 0.678 0.737 0.687 0.734 0.695 0.712
 0.746 0.671 0.722 0.697 0.738 0.706 0.703 0.656 0.597 0.729 0.667 0.683
 0.737 0.631 0.703 0.72  0.695 0.645 0.729 0.728 0.745 0.693 0.669 0.674
 0.706 0.682 0.714 0.735 0.676 0.725 0.674 0.722 0.741 0.69 ]","[0.852 0.763 0.777 0.801 0.795 0.789 0.758 0.794 0.783 0.79  0.794 0.76
 0.84  0.755 0.778 0.818 0.852 0.822 0.753 0.786 0.822 0.842 0.85  0.775
 0.808 0.818 0.832 0.806 0.764 0.849 0.814 0.846 0.779 0.795 0.759 0.804
 0.783 0.846 0.757 0.773 0.837 0.841 0.764 0.832 0.817 0.839]","[0.886 0.927 0.919 0.949 0.892 0.894 0.888 0.946 0.93  0.857 0.857 0.858
 0.86  0.885 0.96  0.938 0.96  0.892 0.948 0.949 0.88  0.968 0.907 0.954
 0.881 0.853 0.855 0.903 0.982 0.856 0.976 0.855 0.93  0.858 0.884 0.889
 0.916 0.919 0.905 0.902 0.927 0.957 0.887 0.857 0.876 0.855]","[1.892 1.057 1.335 0.984 1.054 1.038 1.044 1.043 1.111 1.466 1.338 1.095
 1.393 1.052 1.141 1.659 1.223 1.195 1.25  2.025 1.037 1.022 1.213 1.09
 1.366 1.262 1.429 1.553 1.105 1.107 1.103 1.284 1.038 1.217 1.255 1.09
 1.405 1.135 1.376 1.141 1.348 1.032 1.718 1.021 0.993 1.186]",[0.818 0.918 0.791 0.92 ],[1.239 1.09  1.118 1.224],[1.279 1.295 1.584],[2.391 1.77  2.223 2.445]
4001_class_pictures_part_1.dat,2.684160032532956,-1.488627221154285,1.31029798784049,0.5171833552089745,1.984159281316864,0.945,6.678580665515347,0.8371500000000001,0.8237407407407408,1.0675454545454546,"10     1.195
51     0.858
55     1.305
61     0.614
88     2.078
111    0.984
129    1.073
136    0.916
141    1.245
185    0.775
201    0.700
Name: RT, dtype: float64","1      0.637
2      0.782
3      0.678
4      0.798
5      0.689
       ...  
196    1.491
197    0.647
198    0.560
199    0.647
200    0.760
Name: RT, Length: 189, dtype: float64","[0.637 0.637 0.648 0.587 0.657 0.638 0.629 0.606 0.631 0.588 0.659 0.619
 0.661 0.569 0.636 0.656 0.625 0.644 0.638 0.644 0.629 0.639 0.605 0.61
 0.646 0.609 0.627 0.662 0.656 0.662 0.623 0.633 0.581 0.596 0.591 0.651
 0.595 0.636 0.586 0.643 0.61  0.614 0.617 0.626 0.661 0.647 0.56  0.647]","[0.678 0.689 0.69  0.665 0.744 0.708 0.678 0.665 0.745 0.666 0.663 0.675
 0.719 0.665 0.706 0.75  0.676 0.726 0.709 0.673 0.682 0.715 0.751 0.697
 0.674 0.7   0.691 0.678 0.739 0.688 0.709 0.751 0.705 0.71  0.699 0.718
 0.674 0.744 0.737 0.707 0.746 0.674 0.704 0.671 0.72  0.693 0.73  0.728]","[0.782 0.798 0.881 0.778 0.786 0.809 0.756 0.784 0.764 0.77  0.825 0.79
 0.858 0.876 0.826 0.873 0.89  0.778 0.819 0.839 0.904 0.888 0.785 0.859
 0.822 0.806 0.768 0.844 0.782 0.843 0.758 0.866 0.765 0.9   0.785 0.779
 0.775 0.829 0.838 0.89  0.85  0.864 0.803 0.796 0.791 0.76 ]","[0.95  1.082 1.025 0.911 0.92  0.916 1.096 1.003 0.963 1.11  0.95  0.912
 1.259 0.988 0.941 0.964 1.164 1.109 1.711 1.053 0.937 1.254 0.907 1.3
 1.114 1.322 1.176 1.019 1.07  0.906 1.605 2.017 1.833 0.998 1.561 0.989
 0.955 0.915 0.94  1.158 2.212 1.071 1.46  1.021 1.065 0.936 1.491]",[0.614 0.775 0.7  ],[0.858 0.984 0.916],[1.195 1.073],[1.305 2.078 1.245]
008_class_pictures_part_1.dat,2.909276776411446,-1.7536813626609793,1.636635338865149,0.5106315359477799,1.9644948367778745,0.9844559585492229,6.747567676330391,0.8968704663212436,0.8905894736842106,1.2946666666666666,"91     1.584
96     1.421
100    0.879
Name: RT, dtype: float64","1      0.643
2      0.708
3      0.692
4      0.680
5      0.839
       ...  
197    0.741
198    0.700
199    0.718
200    0.654
201    0.860
Name: RT, Length: 190, dtype: float64","[0.643 0.708 0.692 0.68  0.687 0.609 0.594 0.685 0.597 0.675 0.694 0.644
 0.645 0.637 0.687 0.575 0.669 0.656 0.635 0.667 0.661 0.671 0.689 0.685
 0.687 0.671 0.692 0.677 0.664 0.67  0.662 0.683 0.688 0.588 0.662 0.621
 0.7   0.595 0.642 0.708 0.619 0.638 0.604 0.701 0.63  0.589 0.7   0.654]","[0.772 0.761 0.709 0.714 0.715 0.779 0.736 0.747 0.726 0.749 0.742 0.764
 0.747 0.753 0.749 0.75  0.77  0.709 0.763 0.725 0.781 0.745 0.748 0.749
 0.755 0.709 0.716 0.754 0.77  0.743 0.754 0.74  0.769 0.718 0.771 0.764
 0.756 0.755 0.723 0.755 0.755 0.781 0.739 0.739 0.736 0.721 0.741 0.718]","[0.839 0.852 0.893 0.819 0.9   0.801 0.926 0.897 0.941 0.92  0.836 0.86
 0.934 0.805 0.844 0.89  0.858 0.787 0.894 0.809 0.801 0.817 0.8   0.827
 0.784 0.877 0.838 0.867 0.835 0.828 0.942 0.819 0.818 0.854 0.811 0.842
 0.799 0.795 0.844 0.787 0.885 0.908 0.827 0.852 0.822 0.86 ]","[1.098 1.465 1.938 1.157 1.06  1.415 1.135 0.997 1.958 1.173 0.974 0.958
 0.977 1.132 1.35  0.955 1.175 1.695 1.068 1.266 1.308 1.06  1.302 1.333
 2.025 1.416 0.947 1.745 0.968 1.564 1.611 1.492 1.129 2.091 0.946 1.773
 1.061 0.992 1.242 1.612 1.378 1.061 1.076 1.114 1.174 1.274 2.21  1.003]",,,,
1026_class_pictures_part_1.dat,2.452749485388632,-1.6725360833833556,1.6362849571128109,0.5727122161063619,1.927910490109422,0.963917525773196,6.852618944386325,0.9871288659793817,0.981149732620321,1.1468571428571426,"38     0.743
45     0.889
123    1.359
145    2.093
149    0.818
174    1.302
198    0.824
Name: RT, dtype: float64","1      0.883
2      1.099
3      0.837
4      1.185
5      0.845
       ...  
196    0.974
197    0.817
199    1.250
200    0.825
201    0.694
Name: RT, Length: 187, dtype: float64","[0.799 0.632 0.632 0.75  0.75  0.695 0.697 0.712 0.759 0.758 0.701 0.763
 0.782 0.733 0.666 0.721 0.713 0.795 0.723 0.777 0.682 0.75  0.721 0.794
 0.783 0.7   0.707 0.719 0.657 0.782 0.727 0.713 0.761 0.689 0.737 0.77
 0.703 0.798 0.781 0.66  0.675 0.73  0.75  0.713 0.759 0.799 0.694]","[0.883 0.837 0.845 0.803 0.874 0.8   0.846 0.85  0.842 0.81  0.882 0.87
 0.814 0.85  0.879 0.863 0.813 0.89  0.839 0.839 0.839 0.869 0.839 0.817
 0.842 0.817 0.845 0.809 0.851 0.868 0.829 0.832 0.834 0.826 0.808 0.859
 0.858 0.836 0.826 0.804 0.809 0.822 0.829 0.852 0.847 0.817 0.825]","[0.934 0.973 0.948 0.949 1.031 0.918 1.031 0.898 0.943 0.935 0.951 0.926
 1.032 1.029 0.986 0.959 0.931 0.973 0.983 0.935 0.966 0.985 0.976 1.035
 1.026 0.945 1.055 0.972 0.912 1.072 1.034 0.943 1.07  0.897 0.961 0.922
 0.967 0.92  0.993 0.92  0.91  0.979 1.004 1.045 0.964 0.974]","[1.099 1.185 1.511 1.17  2.183 1.087 1.118 1.145 1.087 1.426 1.334 1.583
 1.092 1.323 1.091 1.117 1.775 1.127 1.473 1.721 1.361 1.081 1.921 1.169
 1.483 1.422 1.17  1.364 2.15  2.227 1.078 1.516 1.551 1.083 1.59  1.269
 1.654 1.773 1.09  1.729 1.525 1.201 1.221 1.291 1.118 1.079 1.25 ]",[0.743 0.818],[0.889 0.824],[1.302],[1.359 2.093]
1007_class_pictures_part_1.dat,2.881301406695919,-2.4445092584128307,2.254799961475928,0.4959104376809181,1.8531270363532677,0.9897959183673468,6.81429286733145,0.9397295918367348,0.9396185567010308,0.9505,"124    1.121
189    0.780
Name: RT, dtype: float64","1      1.092
2      1.189
3      0.910
4      0.809
5      1.662
       ...  
197    0.867
198    0.849
199    0.907
200    0.812
201    0.751
Name: RT, Length: 194, dtype: float64","[0.761 0.766 0.711 0.755 0.73  0.762 0.72  0.73  0.643 0.738 0.691 0.762
 0.761 0.765 0.673 0.731 0.754 0.711 0.728 0.775 0.716 0.733 0.725 0.695
 0.775 0.711 0.631 0.667 0.664 0.723 0.755 0.766 0.757 0.721 0.619 0.607
 0.638 0.554 0.759 0.632 0.734 0.686 0.645 0.663 0.731 0.65  0.709 0.69
 0.751]","[0.809 0.87  0.795 0.818 0.792 0.831 0.818 0.825 0.784 0.824 0.807 0.816
 0.822 0.817 0.818 0.819 0.859 0.825 0.861 0.86  0.785 0.814 0.872 0.82
 0.831 0.8   0.808 0.798 0.791 0.795 0.862 0.807 0.808 0.805 0.864 0.814
 0.873 0.854 0.795 0.79  0.847 0.786 0.859 0.848 0.832 0.867 0.849 0.812]","[0.91  0.959 0.951 0.903 0.972 0.934 0.946 0.951 0.904 0.968 0.968 0.986
 0.89  0.901 0.901 0.891 0.882 0.945 0.874 0.983 0.884 0.981 0.874 0.959
 0.89  0.961 0.905 0.981 0.906 0.937 0.938 0.962 0.963 0.983 0.951 0.976
 0.944 1.01  0.983 0.902 0.938 0.938 0.915 0.96  0.905 0.911 0.916 0.907]","[1.092 1.189 1.662 1.148 1.224 1.126 1.287 1.176 1.344 1.163 1.105 1.015
 1.734 1.091 1.084 1.227 1.339 1.763 1.103 1.081 1.693 1.307 1.286 1.042
 1.324 1.141 1.239 1.031 1.933 1.238 1.048 1.121 2.144 2.034 1.011 1.243
 1.182 1.029 1.183 1.579 1.025 1.64  1.151 1.222 1.014 1.072 1.094 1.527
 1.551]",,,,
3009_class_pictures_part_1.dat,1.8661592080982117,-1.8009185602706268,1.3295210599192588,0.5029619673157496,1.894309707445501,0.9390862944162436,6.700285585827827,0.860005076142132,0.848864864864865,1.03175,"16     0.763
17     0.732
22     0.741
33     2.252
45     1.895
59     0.792
61     0.602
65     1.421
81     0.860
97     0.691
105    0.853
146    0.779
Name: RT, dtype: float64","1      0.632
2      0.701
3      0.635
4      0.679
5      0.679
       ...  
197    0.773
198    0.884
199    0.727
200    0.956
201    0.668
Name: RT, Length: 185, dtype: float64","[0.632 0.635 0.679 0.679 0.682 0.563 0.596 0.637 0.662 0.605 0.66  0.612
 0.603 0.523 0.656 0.613 0.654 0.63  0.637 0.613 0.625 0.596 0.596 0.641
 0.557 0.651 0.643 0.669 0.652 0.583 0.6   0.633 0.676 0.646 0.661 0.61
 0.585 0.626 0.615 0.682 0.66  0.652 0.626 0.613 0.56  0.626 0.668]","[0.701 0.725 0.734 0.7   0.763 0.73  0.683 0.706 0.748 0.755 0.721 0.723
 0.759 0.688 0.733 0.765 0.714 0.773 0.715 0.764 0.7   0.732 0.728 0.709
 0.702 0.742 0.733 0.691 0.749 0.773 0.713 0.74  0.756 0.683 0.722 0.752
 0.771 0.773 0.686 0.701 0.74  0.724 0.699 0.701 0.749 0.754 0.773 0.727]","[0.789 0.864 0.826 0.82  0.802 0.819 0.78  0.878 0.796 0.788 0.878 0.821
 0.79  0.81  0.789 0.788 0.801 0.793 0.798 0.821 0.839 0.83  0.821 0.842
 0.839 0.852 0.88  0.853 0.815 0.883 0.802 0.843 0.811 0.858 0.843 0.85
 0.851 0.851 0.789 0.883 0.794 0.846 0.883 0.805 0.821 0.802]","[0.98  0.909 0.924 1.051 1.15  1.838 0.966 0.887 1.461 1.878 1.061 1.371
 1.172 0.892 2.452 0.965 1.014 0.914 0.901 1.072 0.908 0.914 1.269 1.07
 2.438 1.555 0.912 1.086 0.973 1.309 1.716 1.853 1.435 0.979 1.161 1.117
 2.021 1.058 1.435 1.442 0.979 1.129 0.884 0.956]",[0.732 0.602 0.691],[0.763 0.741 0.779],[0.792 0.86  0.853],[2.252 1.895 1.421]
1025_class_pictures_part_1.dat,0.9526883637600464,-1.626571662385773,0.934095617781836,0.5781232691147404,1.8158867248823427,0.8,6.716753378685351,0.835025,0.8405312500000001,0.813,"25     0.824
38     0.800
75     0.824
77     1.160
82     1.265
100    0.883
103    0.740
116    0.976
120    0.768
121    0.625
122    0.720
128    1.045
130    0.709
135    0.718
139    0.682
140    0.667
141    0.818
142    0.721
143    0.755
145    0.743
146    0.835
148    0.901
150    0.707
154    0.834
158    0.778
161    0.648
163    0.873
167    0.696
169    0.802
172    0.783
173    0.676
174    0.606
175    0.838
177    1.093
179    0.808
182    0.641
191    0.904
197    0.940
200    0.859
201    0.855
Name: RT, dtype: float64","1      0.645
2      0.670
3      0.686
4      0.619
5      0.686
       ...  
194    0.922
195    1.221
196    1.008
198    0.929
199    1.227
Name: RT, Length: 160, dtype: float64","[0.645 0.67  0.686 0.619 0.686 0.679 0.651 0.706 0.639 0.585 0.687 0.712
 0.697 0.679 0.706 0.724 0.711 0.715 0.625 0.722 0.724 0.683 0.721 0.669
 0.704 0.694 0.722 0.678 0.64  0.672 0.688 0.723 0.671 0.71  0.707 0.703
 0.677 0.658 0.631 0.667 0.697]","[0.784 0.746 0.745 0.759 0.762 0.73  0.745 0.759 0.729 0.779 0.745 0.753
 0.751 0.734 0.735 0.748 0.73  0.754 0.742 0.77  0.779 0.737 0.761 0.745
 0.729 0.782 0.75  0.733 0.777 0.744 0.775 0.786 0.791 0.728 0.737 0.736
 0.73  0.726 0.73 ]","[0.838 0.892 0.881 0.897 0.848 0.84  0.807 0.838 0.802 0.927 0.882 0.792
 0.797 0.797 0.844 0.874 0.915 0.819 0.879 0.856 0.818 0.792 0.888 0.915
 0.873 0.822 0.887 0.838 0.85  0.859 0.889 0.806 0.861 0.889 0.821 0.834
 0.863 0.833 0.922 0.929]","[1.02  0.934 0.963 0.992 1.153 1.192 1.369 1.043 0.994 1.046 0.943 1.071
 1.027 1.063 0.947 0.958 0.976 1.042 0.985 1.434 0.998 1.399 1.15  1.256
 1.002 1.242 0.985 1.181 0.968 1.031 0.96  1.126 1.018 0.949 1.103 1.062
 0.974 1.221 1.008 1.227]",[0.625 0.709 0.682 0.667 0.707 0.648 0.696 0.676 0.606 0.641],[0.8   0.74  0.768 0.72  0.718 0.721 0.755 0.743 0.778 0.783],[0.824 0.824 0.818 0.835 0.834 0.802 0.838 0.808 0.859 0.855],[1.16  1.265 0.883 0.976 1.045 0.901 0.873 1.093 0.904 0.94 ]
1022_class_pictures_part_1.dat,1.999041926627447,-1.4060626498473534,0.8971843749523885,0.566988690410142,1.6713804219128197,0.885,6.674566613684068,0.818035,0.8060960451977401,0.9099130434782609,"22     0.695
28     0.792
29     0.839
31     0.618
45     0.899
61     0.809
64     0.945
71     0.698
78     0.930
82     1.068
96     1.434
97     0.770
102    0.903
112    1.398
122    0.846
126    1.223
135    0.775
143    0.995
157    0.738
163    0.886
167    0.699
178    1.039
197    0.929
Name: RT, dtype: float64","1      0.933
2      0.710
3      0.694
4      0.730
5      0.598
       ...  
196    0.751
198    0.712
199    0.795
200    0.740
201    0.830
Name: RT, Length: 177, dtype: float64","[0.694 0.598 0.639 0.69  0.607 0.658 0.648 0.61  0.634 0.642 0.689 0.672
 0.656 0.677 0.69  0.698 0.69  0.586 0.576 0.696 0.625 0.684 0.665 0.639
 0.582 0.647 0.691 0.68  0.668 0.651 0.658 0.678 0.691 0.684 0.668 0.677
 0.625 0.61  0.686 0.681 0.685 0.655 0.672 0.622 0.698 0.606]","[0.71  0.73  0.735 0.758 0.712 0.72  0.727 0.7   0.708 0.747 0.754 0.7
 0.705 0.714 0.721 0.742 0.746 0.736 0.736 0.753 0.737 0.718 0.744 0.701
 0.727 0.704 0.722 0.711 0.718 0.738 0.703 0.752 0.717 0.758 0.722 0.76
 0.716 0.733 0.766 0.761 0.751 0.712 0.74 ]","[0.815 0.772 0.822 0.803 0.777 0.802 0.808 0.847 0.819 0.839 0.853 0.784
 0.851 0.781 0.858 0.77  0.858 0.817 0.854 0.85  0.834 0.852 0.864 0.784
 0.846 0.848 0.791 0.854 0.798 0.823 0.826 0.781 0.809 0.831 0.838 0.822
 0.851 0.777 0.789 0.848 0.817 0.805 0.795 0.83 ]","[0.933 0.97  0.968 0.882 1.1   0.88  1.063 0.878 0.892 0.897 0.944 0.896
 1.16  1.094 0.922 1.289 1.145 1.604 1.227 0.953 1.239 0.957 0.956 0.883
 1.047 0.99  0.887 1.09  0.921 0.93  0.871 0.922 0.911 1.574 1.042 1.039
 0.957 0.969 1.001 0.936 0.871 1.063 1.381 0.909]",[0.695 0.618 0.698 0.77  0.738 0.699],[0.792 0.839 0.809 0.846 0.775 0.886],[0.899 0.945 0.93  0.903 0.929],[1.068 1.434 1.398 1.223 0.995 1.039]
