,v1,v2,v3,v4,a,ndt1,ndt2,ndt3,ndt4,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,0.8626547420515727,-0.758068311883907,-0.7611057087775128,0.264298145738382,0.21614437603713313,0.2065701833112646,0.15781888440255798,0.15720715361440868,0.5075906835512353,-0.13965273903967046,0.44850992274958296,0.6992993033486957
v2,0.8626547420515727,,-0.7743195290848,-0.7605045963147928,0.4076004448864813,0.1348161983313324,0.3020907326382614,0.20270531211671203,0.17764424602299447,0.5654461129332746,-0.021637230772140904,0.5234176653099419,0.7795448522335834
v3,-0.758068311883907,-0.7743195290848,,0.8393480851417271,-0.34815839250641395,-0.17239927749733636,-0.3282879004426281,-0.28865065771808496,-0.1756353692980582,-0.5350405529204881,0.042818637517506426,-0.4955456121922454,-0.7426432101487764
v4,-0.7611057087775128,-0.7605045963147928,0.8393480851417271,,-0.4137320980612091,-0.17910310731105983,-0.3254838129553231,-0.23081813000901208,-0.27517353463925553,-0.5651153322431521,-0.009014445613516307,-0.5164016506882836,-0.7749244741952229
a,0.264298145738382,0.4076004448864813,-0.34815839250641395,-0.4137320980612091,,0.3473466202239239,0.3964307630533615,0.42064522035186397,0.43798457159125104,0.7146833785445925,0.802099116206518,0.7124514260182829,0.7919754551023495
ndt1,0.21614437603713313,0.1348161983313324,-0.17239927749733636,-0.17910310731105983,0.3473466202239239,,0.8814676380746114,0.7672568930385618,0.7560370393850526,0.27068406476437823,0.5132258323320676,0.2882462400693783,0.3047100232024979
ndt2,0.2065701833112646,0.3020907326382614,-0.3282879004426281,-0.3254838129553231,0.3964307630533615,0.8814676380746114,,0.7653580228880323,0.7619908858944772,0.4034605816563561,0.6246994092366132,0.35772738349569044,0.4194770176520823
ndt3,0.15781888440255798,0.20270531211671203,-0.28865065771808496,-0.23081813000901208,0.42064522035186397,0.7672568930385618,0.7653580228880323,,0.911774019302671,0.3718719856007447,0.6547390278369355,0.3179352794476798,0.35032369789338935
ndt4,0.15720715361440868,0.17764424602299447,-0.1756353692980582,-0.27517353463925553,0.43798457159125104,0.7560370393850526,0.7619908858944772,0.911774019302671,,0.4149448650002797,0.6740327039972107,0.3574331488622086,0.35046618374880123
alpha,0.5075906835512353,0.5654461129332746,-0.5350405529204881,-0.5651153322431521,0.7146833785445925,0.27068406476437823,0.4034605816563561,0.3718719856007447,0.4149448650002797,,0.46900864298447675,0.9735430488421852,0.7788705923709831
mean_log_rt,-0.13965273903967046,-0.021637230772140904,0.042818637517506426,-0.009014445613516307,0.802099116206518,0.5132258323320676,0.6246994092366132,0.6547390278369355,0.6740327039972107,0.46900864298447675,,0.4721660336037541,0.4078156327219127
alpha_arc_box,0.44850992274958296,0.5234176653099419,-0.4955456121922454,-0.5164016506882836,0.7124514260182829,0.2882462400693783,0.35772738349569044,0.3179352794476798,0.3574331488622086,0.9735430488421852,0.4721660336037541,,0.8003219823320057
acc_arc_box,0.6992993033486957,0.7795448522335834,-0.7426432101487764,-0.7749244741952229,0.7919754551023495,0.3047100232024979,0.4194770176520823,0.35032369789338935,0.35046618374880123,0.7788705923709831,0.4078156327219127,0.8003219823320057,
