,par,v1,v2,v3,v4,a,ndt1,ndt2,ndt3,ndt4,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
0,v1,1.0,0.848,-0.632,-0.675,0.27,0.324,0.101,0.101,0.142,0.415,-0.116,0.404,0.766
1,v2,0.848,1.0,-0.688,-0.703,0.225,0.061,0.104,-0.003,0.04,0.302,-0.216,0.285,0.669
2,v3,-0.632,-0.688,1.0,0.794,-0.086,0.079,0.134,0.083,0.068,-0.115,0.391,-0.084,-0.482
3,v4,-0.675,-0.703,0.794,1.0,-0.273,0.023,0.1,0.135,0.002,-0.286,0.22,-0.252,-0.623
4,a,0.27,0.225,-0.086,-0.273,1.0,0.227,0.341,0.088,0.167,0.631,0.76,0.644,0.725
5,ndt1,0.324,0.061,0.079,0.023,0.227,1.0,0.833,0.791,0.757,0.599,0.578,0.534,0.482
6,ndt2,0.101,0.104,0.134,0.1,0.341,0.833,1.0,0.775,0.757,0.461,0.68,0.423,0.354
7,ndt3,0.101,-0.003,0.083,0.135,0.088,0.791,0.775,1.0,0.872,0.323,0.481,0.286,0.201
8,ndt4,0.142,0.04,0.068,0.002,0.167,0.757,0.757,0.872,1.0,0.425,0.517,0.38,0.35
9,alpha,0.415,0.302,-0.115,-0.286,0.631,0.599,0.461,0.323,0.425,1.0,0.537,0.975,0.779
10,mean_log_rt,-0.116,-0.216,0.391,0.22,0.76,0.578,0.68,0.481,0.517,0.537,1.0,0.547,0.418
11,alpha_arc_box,0.404,0.285,-0.084,-0.252,0.644,0.534,0.423,0.286,0.38,0.975,0.547,1.0,0.787
12,acc_arc_box,0.766,0.669,-0.482,-0.623,0.725,0.482,0.354,0.201,0.35,0.779,0.418,0.787,1.0
