,parameter,mean_s1,std_s1,mean_s2,std_s2,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
T-test,v1_mean,2.1951,0.5004,2.3903,0.613,-4.9607,127,two-sided,0.0,[-0.27 -0.12],0.3489,6029.896,0.9748
T-test,v2_mean,2.0235,0.4355,2.2222,0.5592,-5.8193,127,two-sided,0.0,[-0.27 -0.13],0.3965,2.43e+05,0.9936
T-test,v3_mean,-2.1175,0.5186,-2.3421,0.612,5.7873,127,two-sided,0.0,[0.15 0.3 ],0.3959,2.103e+05,0.9935
T-test,v4_mean,-2.1191,0.5013,-2.386,0.5688,6.8928,127,two-sided,0.0,[0.19 0.34],0.4978,3.92e+07,0.9999
T-test,a_mean,1.3903,0.3302,1.2257,0.3047,9.3416,127,two-sided,0.0,[0.13 0.2 ],0.5181,1.468e+13,0.9999
T-test,v_total = (v2 + v1)-(v3+v4),8.4551,1.7639,9.3405,2.1554,-7.4503,127,two-sided,0.0,[-1.12 -0.65],0.4496,6.441e+08,0.999
T-test,v_bias = (v2 + v1)+ (v3+v4),-0.018,0.6431,-0.1156,0.6921,1.5796,127,two-sided,0.1167,[-0.02  0.22],0.1461,0.329,0.3746
T-test,v_w_priming = (v2 - v1),0.1716,0.3068,0.1681,0.3116,0.1002,127,two-sided,0.9204,[-0.07  0.07],0.0112,0.099,0.0518
T-test,v_nw_priming = (v4 - v3),-0.0016,0.2532,-0.0439,0.3372,1.1872,127,two-sided,0.2374,[-0.03  0.11],0.1419,0.195,0.3571
T-test,ndt1_mean,0.4661,0.0489,0.4582,0.0485,1.9334,127,two-sided,0.0554,[-0.    0.02],0.1607,0.596,0.4381
T-test,ndt2_mean,0.5009,0.0498,0.494,0.0422,1.7769,127,two-sided,0.078,[-0.    0.01],0.149,0.452,0.3871
T-test,ndt3_mean,0.5583,0.0521,0.53,0.0452,7.6518,127,two-sided,0.0,[0.02 0.04],0.5811,1.811e+09,1.0
T-test,ndt4_mean,0.5388,0.0536,0.5156,0.0459,5.4043,127,two-sided,0.0,[0.01 0.03],0.465,3.887e+04,0.9994
T-test,alpha_mean,1.7391,0.2059,1.7322,0.1962,0.517,127,two-sided,0.6061,[-0.02  0.03],0.0346,0.112,0.0675
T-test,accuracy_percentage,0.9341,0.0419,0.9338,0.0499,0.1232,127,two-sided,0.9022,[-0.  0.],0.0061,0.099,0.0505
T-test,mean_log_rt,6.6997,0.1168,6.6038,0.1066,15.8816,127,two-sided,0.0,[0.08 0.11],0.8574,5.196e+28,1.0
T-test,alpha_mean_boxcox_after_arcsin,0.0972,0.2311,0.0793,0.2248,1.1328,127,two-sided,0.2594,[-0.01  0.05],0.0782,0.184,0.142
T-test,accuracy_percentage_boxcox_after_arcsin,0.5651,0.1976,0.6786,0.2747,-8.5198,127,two-sided,0.0,[-0.14 -0.09],0.4741,1.731e+11,0.9996
